person_id,count,name
32704,2,David Michôd
39517,2,Neal Brennan
25004,2,Mateo Gil
194994,2,Tunde Kelani
250110,2,Nobuhiro Doi
240568,2,Caroline Suh
185697,2,Satish Rajwade
2244791,2,Olivia Newman
961656,2,Christophe Charrier
246959,2,Alexis Morante
903489,2,Yusuke Ishida
16441,2,Miguel Arteta
69823,2,Kagiso Lediga
227610,2,César Rodrigues
289598,2,Laxman Utekar
164231,2,Thomas Sieben
2027102,2,Tosin Igho
355324,2,Rachel Dretzin
13590,2,Edgar Wright
263319,2,Nawapol Thamrongrattanarit
18073,2,Akiva Schaffer
18993,2,Brian A. Miller
34975,2,David E. Talbert
2086381,2,Chen Wei-Ling
1202297,2,Cha Young-hoon
196662,2,Kevin Ko
1377276,2,Francesco Imperato
1023428,2,Claudio Norza
36204,2,Debbie Allen
2329963,2,Anna Wieczur-Bluszcz
198532,2,Marcos Carnevale
795897,2,Neville Shah
277066,2,Halitha Shameem
1128703,2,Fred Ouro Preto
22302,2,John Hamburg
27557,2,Mar Targarona
13025,2,Paul Thomas Anderson
234720,2,Eduardo Roy Jr.
266275,2,Sudheer Varma
213097,2,Oz Rodriguez
728308,2,Shin Won-ho
26363,2,Pierre Morel
254716,2,Mir-Jean Bou Chaaya
59758,2,Tom Stern
76168,2,Alain Desrochers
61141,2,Charlie McDowell
320175,2,Peter Orton
246403,2,John L. Spencer
87719,2,Amy Schumer
11289,2,Ari Sandel
955740,2,Florian Dedio
8024,2,Guillermo del Toro
64707,2,John Asher
48010,2,Sabbir Khan
426253,2,Joe DeMaio
211507,2,Babak Anvari
230790,2,Prashant Nair
67131,2,Harshavardhan Kulkarni
11520,2,Jeff Wadlow
39622,2,Darren Grant
174180,2,Claire Scanlon
8888,2,Tommy Wirkola
4228,2,Aaron Sorkin
52325,2,Sebastián Lelio
6302,2,Peter Berg
869859,2,Charles Uwagbai
955673,2,Soudade Kaadan
369451,2,Nayla Al Khaja
53894,2,Liz Garbus
133288,2,Jerrold Tarog
43188,2,Sam Wrench
191402,2,Khalid Rahman
273329,2,Paco Caballero
607187,2,Daniel Markowicz
726116,2,Aram van de Rest
252210,2,Appie Boudellah
24859,2,William Brent Bell
308514,2,Floyd Russ
255957,2,Karan Anshuman
22297,2,Aziz Ansari
1363930,2,Rami Hachache
67975,2,Michael John Warren
240357,2,Upi Avianto
85219,2,Bill D'Elia
48468,2,Biyi Bandele
243311,2,Pawan Kumar
67734,2,Dan Krauss
7782,2,John G. Avildsen
5005,2,Tony Scott
18051,2,Joe Dante
8456,2,Ivan Reitman
20730,2,Peter Chelsom
11475,2,Terry Jones
176951,2,Walter Taylaur
118809,2,Radha Krishna Jagarlamudi
136353,2,Joyce E. Bernal
8718,2,Ricky Gervais
661319,2,Lam Yuk Fan
12065,2,Don Michael Paul
249327,2,Burak Aksak
178169,2,Anthony Giordano
11173,2,Christopher Guest
46275,2,Jon M. Chu
33266,2,Joe Swanberg
103921,2,Keegan Kuhn
247263,2,Mahmoud Sabbagh
772256,2,Mahmoud Karim
56700,2,Luis Estrada
104035,2,Aziz Mirza
63060,2,Sooraj Barjatya
1185454,2,Lucía Alemany
514365,2,Latif Faiziyev
56653,2,Hannah Fidell
157723,2,Jason Paul Laxamana
64802,2,Kabir Khan
389284,2,Izu Ojukwu
1723895,1,Shantanu Bagchi
178317,1,Ashim Ahluwalia
11473,1,Terry Gilliam
79926,1,Kenya Barris
235810,1,Matteo Rovere
323082,1,Nathaniel Martello-White
257491,1,Bartosz Prokopowicz
13517,1,Joel Gallen
280685,1,Jamie Payne
177005,1,Sarah Spillane
1975449,1,Kim Tae-joon
1166257,1,Takuma Sato
1584278,1,Megumi Tsuno
956213,1,Hiroshi Okuyama
47005,1,Hirokazu Kore-eda
595201,1,Colette Camden
1040660,1,Alauda Ruiz de Azua
157566,1,Sam Pollard
148710,1,Vanessa Jopp
256029,1,Lô Politi
229671,1,Vetrimaaran
890460,1,Aleksey Kiryushchenko
6676,1,Yuen Woo-ping
232393,1,Chris Kelly
275094,1,David Lam
236149,1,Soumendra Padhi
228255,1,Richie Smyth
2656,1,Brad Peyton
131598,1,Justin Krook
2505193,1,Nicklas Kold Nagel
174591,1,Uluç Bayraktar
1692771,1,Francis Longhurst
347552,1,Raaghav Dar
96636,1,Andrew Santino
2277619,1,Rohith Krishnan
14892,1,Jon Cassar
254682,1,Takashi Fujio
254680,1,Yo Kawahara
140373,1,Matt Chow Hoi-Kwong
237432,1,Elite Zexer
232217,1,Houda Benyamina
236456,1,Isa Campo
197923,1,Isaki Lacuesta
64480,1,Meghna Gulzar
30535,1,Ti West
66418,1,Amy Rice
3631,1,Naoko Yamada
1985704,1,Li Huizhu
71174,1,Miguel Ángel Lamata
69224,1,Nagesh Kukunoor
131570,1,Alex Coletti
31601,1,Cyrus Nowrasteh
120636,1,Ali Scher
413186,1,Richard Ladkani
232251,1,Siân Heder
241156,1,Rod Blackhurst
167873,1,Brian McGinn
50931,1,Peter Bull
617404,1,Lucio Branco
55370,1,Rob Silvestri
54103,1,Sophie Robinson
54104,1,Lotje Sodderland
16799,1,Kevin Macdonald
58632,1,Zhao Tianyu
249160,1,Mario Miscione
249159,1,Aaron Hann
17202,1,Cary Joji Fukunaga
7431,1,Oz Perkins
269021,1,Curtis Graham
958941,1,Kwon Jin Mo
